Time,Time Code,Country Name,Country Code,"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employment in industry, male (% of male employment) (modeled ILO estimate) [SL.IND.EMPL.MA.ZS]","Employment in industry, female (% of female employment) (modeled ILO estimate) [SL.IND.EMPL.FE.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Labor force participation rate for ages 15-24, total (%) (national estimate) [SL.TLF.ACTI.1524.NE.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Population ages 65 and above, total [SP.POP.65UP.TO]",Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female (% of female population) [SP.POP.65UP.FE.ZS]","Population ages 65 and above, male (% of male population) [SP.POP.65UP.MA.ZS]",Population growth (annual %) [SP.POP.GROW],"Pupil-teacher ratio, tertiary [SE.TER.ENRL.TC.ZS]","Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]","Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]",Start-up procedures to register a business (number) [IC.REG.PROC],"Unemployment, male (% of male labor force) (national estimate) [SL.UEM.TOTL.MA.NE.ZS]","Unemployment, female (% of female labor force) (national estimate) [SL.UEM.TOTL.FE.NE.ZS]",Urban population growth (annual %) [SP.URB.GROW],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
2018,YR2018,Brunei Darussalam,BRN,1.97300004959106,3.32999992370605,21.3390007019043,9.02799987792969,13567099497.8279,31627.7420793167,-0.994680766133385,..,..,..,96.30126,98.05362,20904,4.87314756750582,5.20974880614978,4.56115637224994,1.05199374278845,12.41771,8.26843,9.89521,93.48278,94.59945,92.43452,3,..,..,1.46107673789112,77.629
2018,YR2018,Bulgaria,BGR,2.2279999256134,4.90999984741211,36.2879981994629,22.3540000915527,65132951116.4756,9272.62930360848,3.84031545793022,23.6877002716064,..,..,..,..,1476625,21.021914434268,24.3961902303145,17.4519984740618,-0.733767859366281,..,..,..,..,..,..,7,5.69159984588623,4.65380001068115,-0.280793034328988,75.008
2018,YR2018,Burkina Faso,BFA,0.321999996900558,0.952000021934509,32.1020011901855,34.0970001220703,14441763758.6919,731.171716967411,3.49944439886167,..,..,..,32.68762,50.07459,475416,2.40698082866355,2.91698738058123,1.89502270192355,2.86707836702633,17.32014,23.11995,39.72173,40.70973,40.73,40.69022,3,..,..,4.98415981781227,29.358
2018,YR2018,Burundi,BDI,0.0390000008046627,0.114000000059605,3.53600001335144,0.777999997138977,3078029929.10347,275.429603285318,-1.56705346305485,..,..,..,..,..,251104,2.24694046033717,2.50374056163706,1.98580280225899,3.16677344240935,..,26.59842,42.52383,48.46502,51.08968,45.84184,3,..,..,5.70008634067739,13.032
2018,YR2018,Cabo Verde,CPV,3.02600002288818,6.46999979019165,30.8250007629395,12.0129995346069,1986928611.73543,3654.00734457117,4.30384124732903,32.5999984741211,..,..,..,..,25064,4.60932715666821,5.9668214604759,3.26240718887659,1.15976676910969,..,15.42052,21.07361,88.15511,92.49768,83.85197,8,12.6599998474121,11.5500001907349,1.87888979052915,65.732
2018,YR2018,Cambodia,KHM,0.324000000953674,0.486000001430511,28.9009990692139,24.7280006408691,24571753583.4922,1512.12670972847,5.92988960733733,..,..,..,..,..,742401,4.56868001756576,5.3693539579644,3.72849305215437,1.49035537141766,..,..,41.7035,..,..,..,9,..,..,3.25025074021303,23.388
2018,YR2018,Cameroon,CMR,2.33100008964539,3.78099989891052,17.318000793457,10.4799995422363,38502059858.4389,1526.87571339209,1.18190526560507,..,..,..,71.58627,82.62804,688120,2.72887735524057,3.02985722114583,2.42784886253157,2.61229075104427,..,..,44.83412,..,..,..,6,..,..,3.67693315164019,56.374
2018,YR2018,Canada,CAN,2.58999991416931,6.21700000762939,29.4130001068115,8.40100002288818,1712510030034.05,46210.5476227883,0.452912514520534,63.3387985229492,..,..,..,..,6385985,17.2320066788651,18.5204478409321,15.9239328623382,1.40924661684667,..,..,..,..,..,..,2,6.13700008392334,5.49280023574829,1.48420235658114,81.411
2018,YR2018,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2418234783193,..,10.9653,15.74725,..,..,..,..,..,..,1.2418234783193,100
2018,YR2018,Central African Republic,CAF,0.428999990224838,1.37600004673004,10.8520002365112,7.12799978256226,2379716827.4977,509.970974805014,2.76760000767437,..,..,..,25.75638,49.51459,131861,2.82577370666008,3.37701902016312,2.26502710976211,1.51905153699811,..,..,..,..,..,..,10,..,..,2.45173611360753,41.364
2018,YR2018,Chad,TCD,0.125,0.335999995470047,4.72800016403198,1.04200005531311,11302544204.9904,730.244607565426,-0.415664166030837,..,..,..,..,..,383929,2.48051894434901,2.692245772835,2.26807251567264,3.02357969868233,..,..,..,..,..,..,8,..,..,3.89908834293785,23.059
2018,YR2018,Channel Islands,CHI,2.21499991416931,6.32800006866455,33.3689994812012,13.0059995651245,..,..,..,..,..,..,..,..,29492,17.2974621552033,18.6848520023215,15.8786427335025,1.0814932456123,..,..,..,..,..,..,..,..,..,1.08156592284642,30.914
2018,YR2018,Chile,CHL,2.69400000572205,5.69000005722046,31.1959991455078,10.7080001831055,298231139609.448,15923.3590619893,2.58767649436109,33.6613998413086,..,..,..,..,2159435,11.5298016568816,12.9752808988764,10.041929189148,1.39101054110467,..,..,..,..,..,..,7,6.69309997558594,7.98610019683838,1.47555844683509,87.564
2018,YR2018,China,CHN,1.80200004577637,4.08900022506714,28.8959999084473,28.2670001983643,13608151864637.9,9770.84708783314,6.11511707222505,..,..,..,95.15933,98.46654,152098421,10.9208835350654,11.8885814188649,10.0030083756477,0.455899678672578,..,13.25879,16.42675,..,..,..,4,..,..,2.49162820140588,59.152
2018,YR2018,Colombia,COL,2.47699999809265,5.23600006103516,23.3619995117188,13.8240003585815,330227866233.324,6651.29129267621,1.11227619537124,52.6559982299805,..,..,95.31892,94.85183,4209239,8.47804701986958,9.25801284256447,7.66841685001465,1.51727089084319,14.8453,..,..,97.50623,100.0915,95.03002,8,7.09159994125366,11.7934999465942,1.92912026786277,80.778
2018,YR2018,Comoros,COM,4.77400016784668,5.28499984741211,14.9820003509521,12.6090002059937,1203080507.99878,1445.45080869998,0.523712697729948,..,..,..,52.95639,64.6442,25028,3.00700930649436,3.30409611915983,2.71583530633536,2.23917061120128,..,..,..,..,..,..,9,..,..,2.8658559669186,28.965
2018,YR2018,"Congo, Dem. Rep.",COD,1.08299994468689,2.86999988555908,16.2709999084473,4.38500022888184,47227535290.9405,561.777182390647,2.39991066370666,..,..,..,..,..,2537041,3.01784062159803,3.30648643015587,2.72806400190695,3.22669890036105,..,..,..,..,..,..,4,..,..,4.53982452244543,44.46
2018,YR2018,"Congo, Rep.",COG,0.541000008583069,1.63800001144409,22.2950000762939,22.2220001220703,11263682694.0393,2147.76946104594,-1.5492440284501,..,..,..,74.61876,86.07651,140639,2.68171953903232,3.07271953083879,2.28953531487077,2.58170130027223,..,..,..,..,..,..,11,..,..,3.26700441390168,66.916
2018,YR2018,Costa Rica,CRI,2.3289999961853,5.15999984741211,23.5380001068115,9.80099964141846,60126014828.5951,12026.5475337333,1.64782906343981,45.2209014892578,..,..,97.92443,97.80235,477439,9.54984767296984,10.2260446505779,8.87341656166762,0.99478225758881,..,12.42779,12.2047,132.8169,137.7495,128.1026,10,..,..,1.98274148495537,79.34
2018,YR2018,Cote d'Ivoire,CIV,1.14999997615814,2.55200004577637,8.07199954986572,3.62199997901917,43007045466.3406,1715.53123817013,4.72569209854963,..,..,..,40.49937,53.65694,716715,2.85894301500285,2.72511974325885,2.99020178794968,2.55235886056005,..,27.28114,41.8223,51.02666,44.34893,57.71112,4,..,..,3.44846173720778,50.779
2018,YR2018,Croatia,HRV,3.30399990081787,6.14499998092651,37.1660003662109,13.3219995498657,60805659436.216,14869.0906823045,3.51149294013067,33.4939002990723,..,..,..,..,836096,20.445433012423,23.7220479156053,16.9189901464171,-0.855405632614006,..,..,..,..,..,..,8,7.644700050354,9.34070014953613,-0.362492009194312,56.947
2018,YR2018,Cuba,CUB,0.720000028610229,1.7039999961853,20.6119995117188,10.4779996871948,..,..,..,..,..,..,..,..,1721834,15.1862114171521,16.3669663552961,13.9898112951567,-0.00988649624040443,..,9.63133,9.16029,101.1372,101.9492,100.3693,..,..,..,0.068028841812254,77.037
2018,YR2018,Curacao,CUW,..,..,..,..,..,..,..,29.8400001525879,..,..,..,..,26671,16.6848948092804,17.9914131891597,15.1490409712091,-0.203734790367624,..,..,..,..,..,..,..,11.3000001907349,15.3800001144409,-0.269116912835956,89.145
2018,YR2018,Cyprus,CYP,0.788999974727631,3.25200009346008,25.7350006103516,6.85200023651123,24469841831.9169,28159.3016999455,2.74515567885148,39.2028007507324,..,..,..,..,163156,13.7190617734483,14.9528763038734,12.4865750661793,0.809225398288843,..,..,..,..,..,..,5,8.0290002822876,8.74219989776611,0.77031383453709,66.81
2018,YR2018,Czech Republic,CZE,1.58299994468689,4.36999988555908,48.9230003356934,23.9799995422363,245225882903.37,23078.5734865691,2.65491944004543,30.406400680542,..,..,..,..,2063603,19.4208768932343,22.1465964431977,16.606017842419,0.294597801117122,..,..,..,..,..,..,8,1.79190003871918,2.80419993400574,0.453281777798392,73.792
2018,YR2018,Denmark,DNK,1.50399994850159,4.55200004577637,27.4389991760254,8.81900024414063,352058410508.345,60726.4665351509,0.921311699524054,63.1838989257813,..,..,..,..,1148645,19.8129526369902,21.2302003085927,18.3800400868023,0.561579124028305,..,..,..,..,..,..,5,4.81799983978271,5.14940023422241,0.694828808740626,87.874
2018,YR2018,Djibouti,DJI,1.51999998092651,2.82100009918213,10.7819995880127,4.55499982833862,1965982321.62953,2050.20473202095,4.31750820567214,..,..,..,..,..,43416,4.52757937811482,4.95386505390667,4.14473997051784,1.5578736070438,..,25.41709,29.37453,51.45778,51.53135,51.39744,5,..,..,1.72390198898162,77.777
2018,YR2018,Dominica,DMA,..,..,..,..,503646211.111111,7031.70975373279,0.298339686612195,..,..,..,..,..,..,..,..,..,0.233431051672096,..,..,..,..,..,..,5,..,..,0.661813153617232,70.483
2018,YR2018,Dominican Republic,DOM,1.97500002384186,4.39900016784668,25.7560005187988,9.51200008392334,81298585403.3004,7650.07275254505,5.8031161286946,..,..,..,..,..,752703,7.08281747649721,7.5244966413907,6.6411054925467,1.07884114802307,..,..,..,..,..,..,7,..,..,2.06676245726519,81.074
