Time,Time Code,Country Name,Region,Country Code,"Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employment in industry, male (% of male employment) (modeled ILO estimate) [SL.IND.EMPL.MA.ZS]","Employment in industry, female (% of female employment) (modeled ILO estimate) [SL.IND.EMPL.FE.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Labor force participation rate for ages 15-24, total (%) (national estimate) [SL.TLF.ACTI.1524.NE.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Population ages 65 and above, total [SP.POP.65UP.TO]",Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female (% of female population) [SP.POP.65UP.FE.ZS]","Population ages 65 and above, male (% of male population) [SP.POP.65UP.MA.ZS]",Population growth (annual %) [SP.POP.GROW],"Pupil-teacher ratio, tertiary [SE.TER.ENRL.TC.ZS]","Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]","Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]",Start-up procedures to register a business (number) [IC.REG.PROC],"Unemployment, male (% of male labor force) (national estimate) [SL.UEM.TOTL.MA.NE.ZS]","Unemployment, female (% of female labor force) (national estimate) [SL.UEM.TOTL.FE.NE.ZS]",Urban population growth (annual %) [SP.URB.GROW],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
2018,YR2018,Brunei Darussalam,Western Pacific,BRN,1.97300005,3.329999924,21.3390007,9.027999878,13567099498,31627.74208,-0.994680766,..,..,..,96.30126,98.05362,20904,4.873147568,5.209748806,4.561156372,1.051993743,12.41771,8.26843,9.89521,93.48278,94.59945,92.43452,3,..,..,1.461076738,77.629
2018,YR2018,Bulgaria,Europe,BGR,2.227999926,4.909999847,36.2879982,22.35400009,65132951116,9272.629304,3.840315458,23.68770027,..,..,..,..,1476625,21.02191443,24.39619023,17.45199847,-0.733767859,..,..,..,..,..,..,7,5.691599846,4.653800011,-0.280793034,75.008
2018,YR2018,Burkina Faso,Africa,BFA,0.321999997,0.952000022,32.10200119,34.09700012,14441763759,731.171717,3.499444399,..,..,..,32.68762,50.07459,475416,2.406980829,2.916987381,1.895022702,2.867078367,17.32014,23.11995,39.72173,40.70973,40.73,40.69022,3,..,..,4.984159818,29.358
2018,YR2018,Burundi,Africa,BDI,0.039000001,0.114,3.536000013,0.777999997,3078029929,275.4296033,-1.567053463,..,..,..,..,..,251104,2.24694046,2.503740562,1.985802802,3.166773442,..,26.59842,42.52383,48.46502,51.08968,45.84184,3,..,..,5.700086341,13.032
2018,YR2018,Cabo Verde,Africa,CPV,3.026000023,6.46999979,30.82500076,12.01299953,1986928612,3654.007345,4.303841247,32.59999847,..,..,..,..,25064,4.609327157,5.96682146,3.262407189,1.159766769,..,15.42052,21.07361,88.15511,92.49768,83.85197,8,12.65999985,11.55000019,1.878889791,65.732
2018,YR2018,Cambodia,Western Pacific,KHM,0.324000001,0.486000001,28.90099907,24.72800064,24571753583,1512.12671,5.929889607,..,..,..,..,..,742401,4.568680018,5.369353958,3.728493052,1.490355371,..,..,41.7035,..,..,..,9,..,..,3.25025074,23.388
2018,YR2018,Cameroon,Africa,CMR,2.33100009,3.780999899,17.31800079,10.47999954,38502059858,1526.875713,1.181905266,..,..,..,71.58627,82.62804,688120,2.728877355,3.029857221,2.427848863,2.612290751,..,..,44.83412,..,..,..,6,..,..,3.676933152,56.374
2018,YR2018,Canada,Americas,CAN,2.589999914,6.217000008,29.41300011,8.401000023,1.71E+12,46210.54762,0.452912515,63.33879852,..,..,..,..,6385985,17.23200668,18.52044784,15.92393286,1.409246617,..,..,..,..,..,..,2,6.137000084,5.492800236,1.484202357,81.411
2018,YR2018,Cayman Islands,Americas,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.241823478,..,10.9653,15.74725,..,..,..,..,..,..,1.241823478,100
2018,YR2018,Central African Republic,Africa,CAF,0.42899999,1.376000047,10.85200024,7.127999783,2379716827,509.9709748,2.767600008,..,..,..,25.75638,49.51459,131861,2.825773707,3.37701902,2.26502711,1.519051537,..,..,..,..,..,..,10,..,..,2.451736114,41.364
